1,Jan-23,265
2,Jan-24,472
3,Jan-25,698
4,Jan-26,785
5,Jan-27,1781
6,Jan-28,1477
7,Jan-29,1755
8,Jan-30,2008
9,Jan-31,2127
10,Feb-1,2603
11,Feb-2,2838
12,Feb-3,3239
13,Feb-4,3925
14,Feb-5,3723
15,Feb-6,3163
16,Feb-7,3437
17,Feb-8,2676
18,Feb-9,3001
19,Feb-10,2546
20,Feb-11,2071
21,Feb-12,14113
22,Feb-13,5154
23,Feb-14,2663
24,Feb-15,2097
